N,n,MI
11,9,1.214657806
40,10,0.092825643
26,20,1.57611097
7,19,7.173457459
31,20,0.528220428
46,19,1.096368008
9,19,3.922111504
41,12,0.244791035
2,2,3.744934521
15,2,0.78454703
15,16,0.259263474
38,5,0.486441524
26,8,0.199410567
26,6,0.338523013
5,18,5.003721323
8,16,1.220303109
26,7,0.616646105
23,19,3.666382023
32,15,0.125273965
2,9,7.881307894
19,8,0.890507028
7,1,0.093461422
39,5,0.477676865
13,9,0.327984997
30,17,0.294151456
13,16,1.371186925
23,9,0.37800961
7,8,1.754179953
33,8,0.08624612
28,12,0.776901479
16,4,0.065563822
13,6,0.754825339
40,2,0.018366815
39,14,0.644680565
39,6,0.068348151
5,15,1.116638467
8,9,0.931467509
18,9,1.107610479
2,5,3.745022652
3,1,0.235805056
12,12,1.322439054
13,17,3.423888069
30,4,0.13260082
4,10,1.269860148
10,11,0.496981001
30,3,0.017458527
37,7,0.136621246
45,14,0.218156709
3,19,7.154459407
13,12,0.58442701
32,10,0.942017087
27,3,0.226750671
21,15,0.185851613
15,17,1.489012978
18,3,0.141188159
36,14,0.25719244
28,7,0.970816014
8,3,0.643577361
42,2,0.177156953
35,10,0.344301563
19,8,0.487132974
17,16,1.787732964
24,15,0.40992981
21,11,1.391819507
16,2,0.099477459
23,3,0.28225979
32,3,0.111361804
29,20,0.486433122
41,11,0.448834545
25,14,0.472267783
10,7,1.046351064
29,10,0.13506906
5,11,12.99462494
42,7,0.581609784
15,6,0.349453081
44,10,0.216758646
13,6,0.403115721
36,6,0.048963222
39,2,0.048332021
3,8,3.752142888
28,13,0.171218738
38,3,0.023133555
40,10,1.204392574
18,12,1.657669897
38,4,0.348756076
32,13,1.034969104
13,6,0.568027655
49,20,0.246225591
5,12,1.721831527
48,20,0.274443831
36,18,0.196033675
14,17,0.970584442
33,10,0.403860624
20,4,0.251968299
38,14,0.8492263
6,10,0.912479713
3,13,11.99990051
31,4,0.33026702
2,4,4.547164231
14,11,1.521104769
31,15,1.046321237
14,10,1.675429298
34,12,0.901261372
13,14,0.868200129
34,14,0.094161958
40,10,0.127743092
43,12,0.375072765
49,20,0.448628595
18,17,0.046250776
25,19,2.632429081
28,15,0.54767502
11,12,0.032781527
45,4,0.154449019
8,19,1.273725683
40,11,0.880555057
31,1,0.012435261
37,20,0.12741392
41,15,0.064865019
33,15,0.813834331
45,12,0.529030021
42,14,0.884647756
31,16,0.38570901
7,6,1.063560242
34,7,0.099229055
8,17,0.606545983
7,5,0.801999406
50,4,0.184783238
15,4,0.5262452
14,4,0.461149265
44,16,0.278348079
22,19,2.819286728
41,2,0.119458778
38,20,0.681487227
28,20,0.172291835
39,16,0.703723402
46,10,0.125549731
11,10,1.555002153
13,19,1.180576651
4,4,0.428283935
13,14,0.35408324
41,20,1.503387706
8,13,0.278718657
33,7,0.247636311
49,13,0.146662815
33,14,0.817958636
16,3,0.194744554
44,9,0.16131087
16,8,0.216390594
31,3,0.049944627
5,9,1.309984585
42,15,0.216523128
35,6,0.445203754
31,8,0.479353978
43,2,0.013379524
8,9,5.012966092
45,14,0.232340259
24,17,1.492340368
6,19,7.045538693
38,8,0.103756697
8,14,3.983538382
2,10,8.881517845
23,16,1.008433779
28,9,1.026609836
21,2,0.047126931
42,19,1.127334213
32,9,0.098390621
5,19,0.455925447
5,2,0.498868725
24,5,0.469258093
6,13,2.837959102
30,1,0.031071226
12,14,0.923603347
50,3,0.05028972
18,1,0.003511475
14,18,3.032313191
30,14,1.437837857
44,1,0.024446575
41,12,0.479783873
43,20,1.300471965
26,11,0.266410646
41,11,0.191107793
36,3,0.108297916
40,16,0.189905578
13,17,0.43711133
23,14,0.208420928
48,8,0.044217152
25,14,0.486223503
15,15,2.781438249
47,1,0.075066883
15,5,0.77889194
39,6,0.12126933
23,11,1.225960875
50,14,0.457575452
33,11,0.868212127
32,2,0.114989297
18,14,0.744274438
33,14,0.224597535
6,5,1.013540443
10,18,1.127658602
13,20,1.204299084
